Tipo destino,Protocolo,#Apariciones
UNICAST,2048,8530.0
UNICAST,34525,1316.0
UNICAST,2054,96.0
BROADCAST,2048,13.0
BROADCAST,2054,50.0
UNICAST,17408,5.0
