IP destino,#Apariciones
192.168.0.197,63.0
192.168.0.132,229.0
192.168.0.1,231.0
0.0.0.0,432.0
192.168.0.3,3.0
192.168.0.22,26.0
192.168.0.223,3.0
192.168.0.153,6.0
192.168.0.94,7.0
